delegacion,ano,detecciones,fecha,fn_ano
     Veracruz Norte,2011 (2),2090511,2011-01-01,
     Veracruz Sur,2011 (2),1311204,2011-01-01,
     Yucatán,2011 (2),1130918,2011-01-01,
     Zacatecas,2011 (2),412669,2011-01-01,
     Aguascalientes,2012 (3),1154849,2012-01-01,
     Baja California,2012 (3),2772879,2012-01-01,
     Baja California Sur,2012 (3),697879,2012-01-01,
     Campeche,2012 (3),507244,2012-01-01,
     Coahuila ,2012 (3),2631079,2012-01-01,
     Colima,2012 (3),567890,2012-01-01,
     Chiapas,2012 (3),928110,2012-01-01,
     Chihuahua,2012 (3),2608869,2012-01-01,
     D.F. Norte,2012 (3),3116523,2012-01-01,
     D.F. Sur,2012 (3),4431803,2012-01-01,
     Durango,2012 (3),1508586,2012-01-01,
     Guanajuato,2012 (3),2848146,2012-01-01,
     Guerrero,2012 (3),963795,2012-01-01,
     Hidalgo,2012 (3),1013844,2012-01-01,
     Jalisco,2012 (3),5217465,2012-01-01,
     México Oriente,2012 (3),6404166,2012-01-01,
     México Poniente,2012 (3),2807284,2012-01-01,
     Michoacán,2012 (3),1713667,2012-01-01,
     Morelos,2012 (3),1044330,2012-01-01,
     Nayarit,2012 (3),727306,2012-01-01,
     Nuevo León,2012 (3),5494337,2012-01-01,
     Oaxaca,2012 (3),701806,2012-01-01,
     Puebla,2012 (3),1986723,2012-01-01,
     Querétaro,2012 (3),989785,2012-01-01,
     Quintana Roo,2012 (3),677431,2012-01-01,
     San Luis Potosí,2012 (3),1371223,2012-01-01,
     Sinaloa,2012 (3),2237245,2012-01-01,
     Sonora,2012 (3),1967295,2012-01-01,
     Tabasco,2012 (3),748395,2012-01-01,
     Tamaulipas,2012 (3),2123998,2012-01-01,
     Tlaxcala,2012 (3),493472,2012-01-01,
     Veracruz Norte,2012 (3),2357515,2012-01-01,
     Veracruz Sur,2012 (3),1576190,2012-01-01,
     Yucatán,2012 (3),1295299,2012-01-01,
     Zacatecas,2012 (3),412971,2012-01-01,
     Aguascalientes,2013 (3),1027115,2013-01-01,
     Baja California,2013 (3),2772531,2013-01-01,
     Baja California Sur,2013 (3),752114,2013-01-01,
     Campeche,2013 (3),523461,2013-01-01,
     Coahuila ,2013 (3),2685744,2013-01-01,
     Colima,2013 (3),516827,2013-01-01,
     Chiapas,2013 (3),918003,2013-01-01,
     Chihuahua,2013 (3),2579759,2013-01-01,
     D.F. Norte,2013 (3),3166273,2013-01-01,
     D.F. Sur,2013 (3),5150030,2013-01-01,
     Durango,2013 (3),1480090,2013-01-01,
     Guanajuato,2013 (3),2750416,2013-01-01,
     Guerrero,2013 (3),1009999,2013-01-01,
     Hidalgo,2013 (3),966076,2013-01-01,
     Jalisco,2013 (3),5383043,2013-01-01,
     México Oriente,2013 (3),6209851,2013-01-01,
     México Poniente,2013 (3),2716608,2013-01-01,
     Michoacán,2013 (3),1655973,2013-01-01,
     Morelos,2013 (3),1017215,2013-01-01,
     Nayarit,2013 (3),733705,2013-01-01,
     Nuevo León,2013 (3),6077938,2013-01-01,
     Oaxaca,2013 (3),674034,2013-01-01,
     Puebla,2013 (3),1964193,2013-01-01,
     Querétaro,2013 (3),1092859,2013-01-01,
     Quintana Roo,2013 (3),708683,2013-01-01,
     San Luis Potosí,2013 (3),1411935,2013-01-01,
     Sinaloa,2013 (3),2343625,2013-01-01,
     Sonora,2013 (3),2054620,2013-01-01,
     Tabasco,2013 (3),828150,2013-01-01,
     Tamaulipas,2013 (3),2454186,2013-01-01,
     Tlaxcala,2013 (3),478647,2013-01-01,
     Veracruz Norte,2013 (3),2406934,2013-01-01,
     Veracruz Sur,2013 (3),1392226,2013-01-01,
     Yucatán,2013 (3),1236780,2013-01-01,
     Zacatecas,2013 (3),433773,2013-01-01,
     Aguascalientes,2014 (3),1095303,2014-01-01,
     Baja California,2014 (3),2705576,2014-01-01,
     Baja California Sur,2014 (3),618966,2014-01-01,
     Campeche,2014 (3),501281,2014-01-01,
     Coahuila ,2014 (3),2445913,2014-01-01,
     Colima,2014 (3),521305,2014-01-01,
     Chiapas,2014 (3),890797,2014-01-01,
     Chihuahua,2014 (3),2506296,2014-01-01,
     D.F. Norte,2014 (3),3111610,2014-01-01,
     D.F. Sur,2014 (3),4671797,2014-01-01,
     Durango,2014 (3),1205075,2014-01-01,
     Guanajuato,2014 (3),2133164,2014-01-01,
     Guerrero,2014 (3),1010101,2014-01-01,
     Hidalgo,2014 (3),932506,2014-01-01,
     Jalisco,2014 (3),5142075,2014-01-01,
     México Oriente,2014 (3),5372945,2014-01-01,
     México Poniente,2014 (3),2678511,2014-01-01,
     Michoacán,2014 (3),1513468,2014-01-01,
     Morelos,2014 (3),880190,2014-01-01,
     Nayarit,2014 (3),738425,2014-01-01,
     Nuevo León,2014 (3),5615054,2014-01-01,
     Oaxaca,2014 (3),683267,2014-01-01,
     Puebla,2014 (3),1844388,2014-01-01,
     Querétaro,2014 (3),1046699,2014-01-01,
     Quintana Roo,2014 (3),685584,2014-01-01,
     San Luis Potosí,2014 (3),1673573,2014-01-01,
     Sinaloa,2014 (3),1902987,2014-01-01,
     Sonora,2014 (3),1944453,2014-01-01,
     Tabasco,2014 (3),786634,2014-01-01,
     Tamaulipas,2014 (3),2397317,2014-01-01,
     Tlaxcala,2014 (3),487896,2014-01-01,
     Veracruz Norte,2014 (3),2186742,2014-01-01,
     Veracruz Sur,2014 (3),1228098,2014-01-01,
     Yucatán,2014 (3),1173235,2014-01-01,
     Zacatecas,2014 (3),418957,2014-01-01,
     Aguascalientes,2015 (3),1229067,2015-01-01,
     Baja California,2015 (3),3106261,2015-01-01,
     Baja California Sur,2015 (3),597622,2015-01-01,
     Campeche,2015 (3),554331,2015-01-01,
     Coahuila ,2015 (3),2830690,2015-01-01,
     Colima,2015 (3),559042,2015-01-01,
     Chiapas,2015 (3),998778,2015-01-01,
     Chihuahua,2015 (3),2469943,2015-01-01,
     D.F. Norte,2015 (3),3950488,2015-01-01,
     D.F. Sur,2015 (3),4592542,2015-01-01,
     Durango,2015 (3),1167398,2015-01-01,
     Guanajuato,2015 (3),1962185,2015-01-01,
     Guerrero,2015 (3),1068519,2015-01-01,
     Hidalgo,2015 (3),955883,2015-01-01,
     Jalisco,2015 (3),5371616,2015-01-01,
     México Oriente,2015 (3),5462159,2015-01-01,
     México Poniente,2015 (3),2797372,2015-01-01,
     Michoacán,2015 (3),1757748,2015-01-01,
     Morelos,2015 (3),649660,2015-01-01,
     Nayarit,2015 (3),751208,2015-01-01,
     Nuevo León,2015 (3),6153203,2015-01-01,
     Oaxaca,2015 (3),709063,2015-01-01,
     Puebla,2015 (3),2593181,2015-01-01,
     Querétaro,2015 (3),1051502,2015-01-01,
     Quintana Roo,2015 (3),844322,2015-01-01,
     San Luis Potosí,2015 (3),1735559,2015-01-01,
     Sinaloa,2015 (3),2173691,2015-01-01,
     Sonora,2015 (3),2443446,2015-01-01,
     Tabasco,2015 (3),850112,2015-01-01,
     Tamaulipas,2015 (3),2612584,2015-01-01,
     Tlaxcala,2015 (3),504474,2015-01-01,
     Veracruz Norte,2015 (3),3039822,2015-01-01,
     Veracruz Sur,2015 (3),1331473,2015-01-01,
     Yucatán,2015 (3),1165069,2015-01-01,
     Zacatecas,2015 (3),423167,2015-01-01,
     Aguascalientes,2016 (3),1243050,2016-01-01,
     Baja California,2016 (3),2852106,2016-01-01,
     Baja California Sur,2016 (3),651755,2016-01-01,
     Campeche,2016 (3),677571,2016-01-01,
     Coahuila ,2016 (3),3097456,2016-01-01,
     Colima,2016 (3),579725,2016-01-01,
     Chiapas,2016 (3),985263,2016-01-01,
     Chihuahua,2016 (3),2661739,2016-01-01,
     D.F. Norte,2016 (3),3939232,2016-01-01,
     D.F. Sur,2016 (3),4772161,2016-01-01,
     Durango,2016 (3),1174946,2016-01-01,
     Guanajuato,2016 (3),2157549,2016-01-01,
     Guerrero,2016 (3),994553,2016-01-01,
     Hidalgo,2016 (3),864088,2016-01-01,
     Jalisco,2016 (3),5502947,2016-01-01,
     México Oriente,2016 (3),5136878,2016-01-01,
     México Poniente,2016 (3),2564953,2016-01-01,
     Michoacán,2016 (3),1875782,2016-01-01,
     Morelos,2016 (3),901905,2016-01-01,
     Nayarit,2016 (3),712606,2016-01-01,
     Nuevo León,2016 (3),6847744,2016-01-01,
     Oaxaca,2016 (3),750362,2016-01-01,
     Puebla,2016 (3),2502248,2016-01-01,
     Querétaro,2016 (3),1069078,2016-01-01,
     Quintana Roo,2016 (3),1058507,2016-01-01,
     San Luis Potosí,2016 (3),1852829,2016-01-01,
     Sinaloa,2016 (3),2223477,2016-01-01,
     Sonora,2016 (3),2386583,2016-01-01,
     Tabasco,2016 (3),915266,2016-01-01,
     Tamaulipas,2016 (3),2817653,2016-01-01,
     Tlaxcala,2016 (3),551036,2016-01-01,
     Veracruz Norte,2016 (3),2826444,2016-01-01,
     Veracruz Sur,2016 (3),1193915,2016-01-01,
     Yucatán,2016 (3),1337246,2016-01-01,
     Zacatecas,2016 (3),357734,2016-01-01,
     Aguascalientes,2017(3),1238810,2017-01-01,
     Baja California,2017(3),3035906,2017-01-01,
     Baja California Sur,2017(3),582337,2017-01-01,
     Campeche,2017(3),553728,2017-01-01,
     Coahuila ,2017(3),3064139,2017-01-01,
     Colima,2017(3),576785,2017-01-01,
     Chiapas,2017(3),997458,2017-01-01,
     Chihuahua,2017(3),2358413,2017-01-01,
     D.F. Norte,2017(3),3991413,2017-01-01,
     D.F. Sur,2017(3),4460627,2017-01-01,
     Durango,2017(3),1130988,2017-01-01,
     Guanajuato,2017(3),1868404,2017-01-01,
     Guerrero,2017(3),826167,2017-01-01,
     Hidalgo,2017(3),818969,2017-01-01,
     Jalisco,2017(3),5292591,2017-01-01,
     México Oriente,2017(3),4457534,2017-01-01,
     México Poniente,2017(3),2669040,2017-01-01,
     Michoacán,2017(3),1699046,2017-01-01,
     Morelos,2017(3),778407,2017-01-01,
     Nayarit,2017(3),659180,2017-01-01,
     Nuevo León,2017(3),7178901,2017-01-01,
     Oaxaca,2017(3),718739,2017-01-01,
     Puebla,2017(3),2265983,2017-01-01,
     Querétaro,2017(3),1092759,2017-01-01,
     Quintana Roo,2017(3),1025856,2017-01-01,
     San Luis Potosí,2017(3),1717072,2017-01-01,
     Sinaloa,2017(3),2038741,2017-01-01,
     Sonora,2017(3),2195127,2017-01-01,
     Tabasco,2017(3),883902,2017-01-01,
     Tamaulipas,2017(3),2418319,2017-01-01,
     Tlaxcala,2017(3),494950,2017-01-01,
     Veracruz Norte,2017(3),2962612,2017-01-01,
     Veracruz Sur,2017(3),1049223,2017-01-01,
     Yucatán,2017(3),1163593,2017-01-01,
     Zacatecas,2017(3),395689,2017-01-01,
     Aguascalientes,2018(3),1070207,2018-01-01,
     Baja California,2018(3),2775290,2018-01-01,
     Baja California Sur,2018(3),590918,2018-01-01,
     Campeche,2018(3),454911,2018-01-01,
     Coahuila ,2018(3),3095342,2018-01-01,
     Colima,2018(3),573927,2018-01-01,
     Chiapas,2018(3),982119,2018-01-01,
     Chihuahua,2018(3),2087517,2018-01-01,
     D.F. Norte,2018(3),4204739,2018-01-01,
     D.F. Sur,2018(3),4536252,2018-01-01,
     Durango,2018(3),1184376,2018-01-01,
     Guanajuato,2018(3),1927195,2018-01-01,
     Guerrero,2018(3),767308,2018-01-01,
     Hidalgo,2018(3),607880,2018-01-01,
     Jalisco,2018(3),5546445,2018-01-01,
     México Oriente,2018(3),4223885,2018-01-01,
     México Poniente,2018(3),2678425,2018-01-01,
     Michoacán,2018(3),1547139,2018-01-01,
     Morelos,2018(3),834148,2018-01-01,
     Nayarit,2018(3),577340,2018-01-01,
     Nuevo León,2018(3),6685586,2018-01-01,
     Oaxaca,2018(3),709908,2018-01-01,
     Puebla,2018(3),2270745,2018-01-01,
     Querétaro,2018(3),1037001,2018-01-01,
     Quintana Roo,2018(3),1054534,2018-01-01,
     San Luis Potosí,2018(3),1687380,2018-01-01,
     Sinaloa,2018(3),1985019,2018-01-01,
     Sonora,2018(3),1970240,2018-01-01,
     Tabasco,2018(3),851130,2018-01-01,
     Tamaulipas,2018(3),2451052,2018-01-01,
     Tlaxcala,2018(3),514435,2018-01-01,
     Veracruz Norte,2018(3),2732280,2018-01-01,
     Veracruz Sur,2018(3),1040655,2018-01-01,
     Yucatán,2018(3),1230775,2018-01-01,
     Zacatecas,2018(3),380154,2018-01-01,
     Aguascalientes,2019(3),936458,2019-01-01,
     Baja California,2019(3),2503273,2019-01-01,
     Baja California Sur,2019(3),533411,2019-01-01,
     Campeche,2019(3),441368,2019-01-01,
     Coahuila ,2019(3),3024462,2019-01-01,
     Colima,2019(3),520286,2019-01-01,
     Chiapas,2019(3),874938,2019-01-01,
     Chihuahua,2019(3),1976689,2019-01-01,
     D.F. Norte,2019(3),4017830,2019-01-01,
     D.F. Sur,2019(3),3740577,2019-01-01,
     Durango,2019(3),1138916,2019-01-01,
     Guanajuato,2019(3),1654099,2019-01-01,
     Guerrero,2019(3),744711,2019-01-01,
     Hidalgo,2019(3),888449,2019-01-01,
     Jalisco,2019(3),5109952,2019-01-01,
     México Oriente,2019(3),4214756,2019-01-01,
     México Poniente,2019(3),2574923,2019-01-01,
     Michoacán,2019(3),1445788,2019-01-01,
     Morelos,2019(3),817221,2019-01-01,
     Nayarit,2019(3),567835,2019-01-01,
     Nuevo León,2019(3),7003298,2019-01-01,
     Oaxaca,2019(3),708567,2019-01-01,
     Puebla,2019(3),2356904,2019-01-01,
     Querétaro,2019(3),982576,2019-01-01,
     Quintana Roo,2019(3),958608,2019-01-01,
     San Luis Potosí,2019(3),1427740,2019-01-01,
     Sinaloa,2019(3),1926367,2019-01-01,
     Sonora,2019(3),1926742,2019-01-01,
     Tabasco,2019(3),805568,2019-01-01,
     Tamaulipas,2019(3),2376608,2019-01-01,
     Tlaxcala,2019(3),488683,2019-01-01,
     Veracruz Norte,2019(3),2654197,2019-01-01,
     Veracruz Sur,2019(3),1036706,2019-01-01,
     Yucatán,2019(3),1136007,2019-01-01,
     Zacatecas,2019(3),344784,2019-01-01,
     Aguascalientes,2020(3),482756,2020-01-01,
     Baja California,2020(3),1257480,2020-01-01,
     Baja California Sur,2020(3),254818,2020-01-01,
     Campeche,2020(3),235069,2020-01-01,
     Coahuila ,2020(3),1282085,2020-01-01,
     Colima,2020(3),310738,2020-01-01,
     Chiapas,2020(3),377574,2020-01-01,
     Chihuahua,2020(3),1033079,2020-01-01,
     D.F. Norte,2020(3),2012626,2020-01-01,
     D.F. Sur,2020(3),2360693,2020-01-01,
     Durango,2020(3),675277,2020-01-01,
     Guanajuato,2020(3),923319,2020-01-01,
     Guerrero,2020(3),402857,2020-01-01,
     Hidalgo,2020(3),444533,2020-01-01,
     Jalisco,2020(3),2830562,2020-01-01,
     México Oriente,2020(3),2572911,2020-01-01,
     México Poniente,2020(3),1454882,2020-01-01,
     Michoacán,2020(3),809399,2020-01-01,
     Morelos,2020(3),571682,2020-01-01,
     Nayarit,2020(3),354995,2020-01-01,
     Nuevo León,2020(3),5029429,2020-01-01,
     Oaxaca,2020(3),317954,2020-01-01,
     Puebla,2020(3),1613074,2020-01-01,
     Querétaro,2020(3),601936,2020-01-01,
     Quintana Roo,2020(3),485213,2020-01-01,
     San Luis Potosí,2020(3),964007,2020-01-01,
     Sinaloa,2020(3),982504,2020-01-01,
     Sonora,2020(3),982913,2020-01-01,
     Tabasco,2020(3),320295,2020-01-01,
     Tamaulipas,2020(3),1175511,2020-01-01,
     Tlaxcala,2020(3),249119,2020-01-01,
     Veracruz Norte,2020(3),1124097,2020-01-01,
     Veracruz Sur,2020(3),645226,2020-01-01,
     Yucatán,2020(3),482865,2020-01-01,
     Zacatecas,2020(3),179515,2020-01-01,
     Aguascalientes,2021 (3),712052,2021-01-01,
     Baja California,2021 (3),1935021,2021-01-01,
     Baja California Sur,2021 (3),353275,2021-01-01,
     Campeche,2021 (3),389363,2021-01-01,
     Coahuila ,2021 (3),2062213,2021-01-01,
     Colima,2021 (3),376878,2021-01-01,
     Chiapas,2021 (3),530761,2021-01-01,
     Chihuahua,2021 (3),1502204,2021-01-01,
     D.F. Norte,2021 (3),2132652,2021-01-01,
     D.F. Sur,2021 (3),3786902,2021-01-01,
     Durango,2021 (3),1013439,2021-01-01,
     Guanajuato,2021 (3),1420745,2021-01-01,
     Guerrero,2021 (3),500806,2021-01-01,
     Hidalgo,2021 (3),636331,2021-01-01,
     Jalisco,2021 (3),3286305,2021-01-01,
     México Oriente,2021 (3),3132430,2021-01-01,
     México Poniente,2021 (3),1799733,2021-01-01,
     Michoacán,2021 (3),1072447,2021-01-01,
     Morelos,2021 (3),865174,2021-01-01,
     Nayarit,2021 (3),526992,2021-01-01,
     Nuevo León,2021 (3),6551895,2021-01-01,
     Oaxaca,2021 (3),468967,2021-01-01,
     Puebla,2021 (3),2172233,2021-01-01,
     Querétaro,2021 (3),804557,2021-01-01,
     Quintana Roo,2021 (3),777776,2021-01-01,
     San Luis Potosí,2021 (3),1420014,2021-01-01,
     Sinaloa,2021 (3),1306088,2021-01-01,
     Sonora,2021 (3),1341073,2021-01-01,
     Tabasco,2021 (3),474970,2021-01-01,
     Tamaulipas,2021 (3),1636279,2021-01-01,
     Tlaxcala,2021 (3),323092,2021-01-01,
     Veracruz Norte,2021 (3),1350768,2021-01-01,
     Veracruz Sur,2021 (3),903468,2021-01-01,
     Yucatán,2021 (3),747163,2021-01-01,
     Zacatecas,2021 (3),275108,2021-01-01,
     Aguascalientes,2022 (3),932755,2022-01-01,
     Baja California,2022 (3),2634598,2022-01-01,
     Baja California Sur,2022 (3),853140,2022-01-01,
     Campeche,2022 (3),479597,2022-01-01,
     Coahuila ,2022 (3),2650097,2022-01-01,
     Colima,2022 (3),497784,2022-01-01,
     Chiapas,2022 (3),722858,2022-01-01,
     Chihuahua,2022 (3),1966871,2022-01-01,
     D.F. Norte,2022 (3),1500444,2022-01-01,
     D.F. Sur,2022 (3),3140333,2022-01-01,
     Durango,2022 (3),852848,2022-01-01,
     Guanajuato,2022 (3),1420352,2022-01-01,
     Guerrero,2022 (3),2657637,2022-01-01,
     Hidalgo,2022 (3),2987867,2022-01-01,
     Jalisco,2022 (3),3300534,2022-01-01,
     México Oriente,2022 (3),2644127,2022-01-01,
     México Poniente,2022 (3),1638951,2022-01-01,
     Michoacán,2022 (3),1022194,2022-01-01,
     Morelos,2022 (3),4162025,2022-01-01,
     Nayarit,2022 (3),669918,2022-01-01,
     Nuevo León,2022 (3),4847424,2022-01-01,
     Oaxaca,2022 (3),876152,2022-01-01,
     Puebla,2022 (3),1763081,2022-01-01,
     Querétaro,2022 (3),1405836,2022-01-01,
     Quintana Roo,2022 (3),1450714,2022-01-01,
     San Luis Potosí,2022 (3),1607651,2022-01-01,
     Sinaloa,2022 (3),1249125,2022-01-01,
     Sonora,2022 (3),1827318,2022-01-01,
     Tabasco,2022 (3),560242,2022-01-01,
     Tamaulipas,2022 (3),1917240,2022-01-01,
     Tlaxcala,2022 (3),859971,2022-01-01,
     Veracruz Norte,2022 (3),1373679,2022-01-01,
     Veracruz Sur,2022 (3),759241,2022-01-01,
     Yucatán,2022 (3),1759748,2022-01-01,
     Zacatecas,2022 (3),3438163,2022-01-01,
     Aguascalientes,2023(3),950699,2023-01-01,
     Baja California,2023(3),3322372,2023-01-01,
     Baja California Sur,2023(3),933308,2023-01-01,
     Campeche,2023(3),660744,2023-01-01,
     Coahuila ,2023(3),3005868,2023-01-01,
     Colima,2023(3),608518,2023-01-01,
     Chiapas,2023(3),874333,2023-01-01,
     Chihuahua,2023(3),2204771,2023-01-01,
     D.F. Norte,2023(3),2336737,2023-01-01,
     D.F. Sur,2023(3),5211415,2023-01-01,
     Durango,2023(3),1257670,2023-01-01,
     Guanajuato,2023(3),2510509,2023-01-01,
     Guerrero,2023(3),743763,2023-01-01,
     Hidalgo,2023(3),841103,2023-01-01,
     Jalisco,2023(3),5257622,2023-01-01,
     México Oriente,2023(3),6738682,2023-01-01,
     México Poniente,2023(3),2660321,2023-01-01,
     Michoacán,2023(3),1523763,2023-01-01,
     Morelos,2023(3),1016852,2023-01-01,
     Nayarit,2023(3),1003997,2023-01-01,
     Nuevo León,2023(3),6752723,2023-01-01,
     Oaxaca,2023(3),837496,2023-01-01,
     Puebla,2023(3),2949361,2023-01-01,
     Querétaro,2023(3),1281506,2023-01-01,
     Quintana Roo,2023(3),1266677,2023-01-01,
     San Luis Potosí,2023(3),1735382,2023-01-01,
     Sinaloa,2023(3),2396111,2023-01-01,
     Sonora,2023(3),1883347,2023-01-01,
     Tabasco,2023(3),889900,2023-01-01,
     Tamaulipas,2023(3),3110741,2023-01-01,
     Tlaxcala,2023(3),546453,2023-01-01,
     Veracruz Norte,2023(3),2271038,2023-01-01,
     Veracruz Sur,2023(3),1534370,2023-01-01,
     Yucatán,2023(3),1235464,2023-01-01,
     Zacatecas,2023(3),504294,2023-01-01,
